Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
J5	1.98e-05	11	4343.2946653135	17	0.7393333333333333	32	5.76e-05
J6	1.98e-05	11	5415.902060605149	16	0.7760000000000001	32	5.76e-05
J7	1.8e-05	10	100879.66191266719	10	1.1536666666666668	31	5.58e-05
J8	1.8e-05	10	4000.0450267932124	14	0.8010000000000002	28	5.04e-05
J9	1.98e-05	11	5257.789620345841	15	0.7236666666666668	31	5.58e-05
J10	1.98e-05	11	71423.92839958442	11	0.7479999999999999	32	5.76e-05
J11	1.8e-05	10	129832.28381596901	10	0.8666666666666666	19	3.42e-05
J12	1.98e-05	11	-257.2018114724439	16	0.7216666666666667	31	5.58e-05
J13	1.98e-05	11	5766.183942777712	17	0.972	29	5.22e-05
J14	1.98e-05	11	3154.781649357426	18	0.8853333333333334	29	5.22e-05
J15	1.98e-05	11	6068.76135566315	16	0.7826666666666666	32	5.76e-05
J16	1.98e-05	11	3139.121580877489	17	0.8046666666666668	32	5.76e-05
J17	1.98e-05	11		15	0.8183333333333334	25	4.5e-05
J18	2.34e-05	13	5921.729383826419	15	0.5553333333333333	30	5.4e-05
J19	1.98e-05	11	8324.277743465384	12	0.7123333333333334	32	5.76e-05
J20	1.98e-05	11	8123.216887222089	12	0.7656666666666666	32	5.76e-05
J21	1.98e-05	11	1218.6519269459607	16	0.7996666666666666	28	5.04e-05
J22	2.16e-05	12	2028.6946929785238	17	0.6893333333333334	32	5.76e-05
J23	1.98e-05	11	6578.949566716615	12	0.694	32	5.76e-05
J24	1.98e-05	11	12417.789731294824	15	0.6996666666666668	32	5.76e-05
K1	1.8e-05	10	12988.31786580265	13	0.7716666666666666	32	5.76e-05
K2	1.8e-05	10	11003.019411159175	14	0.8566666666666666	32	5.76e-05
K3	1.98e-05	11	66342.24544353818	11	0.7186666666666666	32	5.76e-05
K4	1.8e-05	10	90323.63270737321	10	0.9163333333333333	26	4.68e-05
K5	1.98e-05	11	5754.809848031956	16	0.795	32	5.76e-05
K6	1.98e-05	11	4484.003240791183	16	0.7453333333333333	32	5.76e-05
K7	1.98e-05	11	8614.924317520767	12	0.733	32	5.76e-05
K8	1.8e-05	10	1318.0446409057722	14	0.8423333333333334	24	4.32e-05
K9	1.98e-05	11	6983.230695468548	15	0.758	31	5.58e-05
K10	1.98e-05	11	67472.45154070739	11	0.7403333333333334	32	5.76e-05
K11	1.98e-05	11	6664.325604957926	12	0.6823333333333333	31	5.58e-05
K12	1.8e-05	10	7926.786581005285	12	0.7676666666666666	23	4.14e-05
K13	1.98e-05	11	9712.645725321167	17	1.0433333333333332	32	5.76e-05
K14	1.98e-05	11	3859.24849100675	17	0.9256666666666667	30	5.4e-05
K15	1.98e-05	11	7106.245622906873	15	0.7559999999999999	32	5.76e-05
K16	1.98e-05	11	5983.848913752513	15	0.757	32	5.76e-05
K17	1.98e-05	11	1577.8421702892447	16	0.8266666666666667	31	5.58e-05
K18	1.98e-05	11		15	0.7720000000000001	25	4.5e-05
K19	1.98e-05	11	4131.410478283365	17	0.6836666666666668	32	5.76e-05
