	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
76	D5	1.08e-05	6	31152.232187186946	10	0.7293333333333334	32	5.76e-05
77	D6	1.26e-05	7	9318.709255903794	10	0.754	32	5.76e-05
78	D7	1.08e-05	6	39501.32600062797	10	1.1703333333333334	31	5.58e-05
79	D8	1.26e-05	7	8446.61923465383	14	0.7520000000000001	27	4.86e-05
80	D9	1.26e-05	7	-1776.3964445525683	10	0.7040000000000001	32	5.76e-05
81	D10	1.08e-05	6	10483.150485996744	15	0.7216666666666667	32	5.76e-05
82	D11	1.26e-05	7	13134.31280946692	16	0.862	23	4.14e-05
83	D12	1.08e-05	6	25534.623832598852	10	0.7303333333333333	25	4.5e-05
84	D13	1.08e-05	6	16808.611146467636	16	0.9296666666666668	29	5.22e-05
85	D14	1.26e-05	7	49555.74617454809	10	0.8946666666666667	30	5.4e-05
86	D15	1.26e-05	7	-292.52782736038597	12	0.7603333333333334	32	5.76e-05
87	D16	1.08e-05	6	13699.653479038985	12	0.834	32	5.76e-05
88	D17	1.26e-05	7	-2286.35301762698	11	0.7743333333333333	26	4.68e-05
89	D18	1.44e-05	8		15	0.4963333333333333	18	3.24e-05
90	D19	1.08e-05	6	179764.34427801272	9	0.6789999999999999	32	5.76e-05
91	D20	1.26e-05	7	5134.586360784975	11	0.714	29	5.22e-05
92	D21	1.26e-05	7	18729.459848619972	11	0.7633333333333333	28	5.04e-05
93	D22	1.26e-05	7	3210.6002090355614	11	0.6673333333333332	32	5.76e-05
94	D23	1.26e-05	7	9511.447098477109	17	0.718	32	5.76e-05
95	D24	1.08e-05	6	62775.587717922404	11	0.7079999999999999	32	5.76e-05
96	E1	1.08e-05	6	14364.83706657701	14	0.7456666666666667	32	5.76e-05
97	E2	1.08e-05	6	14407.375923130332	14	0.884	32	5.76e-05
98	E3	1.08e-05	6	118921.47536051898	9	0.757	32	5.76e-05
99	E4	1.08e-05	6	666.4044771479288	14	0.8559999999999999	25	4.5e-05
100	E5	1.26e-05	7	-2506.670649647674	10	0.7393333333333333	32	5.76e-05
101	E6	1.26e-05	7	6127.2748544605465	12	0.7376666666666667	32	5.76e-05
102	E7	1.08e-05	6	5280.6794089062705	12	0.7076666666666668	30	5.4e-05
103	E8	1.08e-05	6	26548.538119280467	10	0.8313333333333333	21	3.78e-05
104	E9	1.26e-05	7	-3740.224278537969	10	0.7163333333333334	32	5.76e-05
105	E10	1.08e-05	6	19788.127988990396	10	0.7413333333333334	32	5.76e-05
106	E11	1.26e-05	7	13276.187041915653	10	0.7146666666666666	30	5.4e-05
107	E12	1.08e-05	6	22327.966425745453	10	0.803	24	4.32e-05
108	E13	1.08e-05	6	14562.327458863025	18	1.037	32	5.76e-05
109	E14	1.26e-05	7	11176.384117892687	17	0.9276666666666666	27	4.86e-05
110	E15	1.26e-05	7	17852.185142888975	10	0.7743333333333333	32	5.76e-05
111	E16	1.26e-05	7	22818.971683829255	10	0.8040000000000002	32	5.76e-05
112	E17	1.08e-05	6	7914.332631826454	12	0.8313333333333333	28	5.04e-05
113	E18	1.26e-05	7	9723.658297851725	11	0.7793333333333333	25	4.5e-05
114	E19	1.26e-05	7	-3595.7001125471047	10	0.6646666666666666	32	5.76e-05
115	E20	1.08e-05	6	57885.12316309874	10	0.7296666666666667	32	5.76e-05
