	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
217	I24	14400.0	8.0	1.8029900755957927e-05	19.0	1.1173333333333333	48	86400.0
218	J1	12600.0	7.0	1.2912247687355251e-05	19.0	0.9383333333333334	48	86400.0
219	J2	12600.0	7.0	9.252714258774898e-06	19.0	0.8623333333333334	48	86400.0
220	J3	14400.0	8.0	7.925393642302705e-06	18.0	0.8306666666666667	47	84600.0
221	J4	12600.0	7.0	3.7194896701102304e-05	10.0	0.8479999999999999	37	66600.0
222	J5	12600.0	7.0	0.0001273431179558183	9.0	0.8793333333333333	48	86400.0
223	J6	14400.0	8.0	9.096476295957895e-06	18.0	0.8583333333333334	46	82800.0
224	J7	10800.0	6.0	1.6395419805069313e-05	15.0	1.1613333333333333	35	63000.0
225	J8	14400.0	8.0	6.210530893185685e-06	16.0	0.852	48	86400.0
226	J9	14400.0	8.0	5.14085469322007e-05	11.0	0.8316666666666667	48	86400.0
227	J10	14400.0	8.0	7.883135137236827e-06	16.0	0.8073333333333333	46	82800.0
228	J11	12600.0	7.0	1.9043333655572386e-05	14.0	0.5463333333333334	29	52200.0
229	J12	12600.0	7.0	6.234364780954113e-06	19.0	0.8783333333333333	48	86400.0
230	J13	19800.0	11.0	1.228248547939168e-05	17.0	0.7906666666666666	45	81000.0
231	J14					0.09233333333333334	48	86400.0
232	J15	73800.0	41.0		47.0	0.109	48	86400.0
233	J16	18000.0	10.0	1.650598609204808e-06	20.0	0.7913333333333333	48	86400.0
234	J17	9000.0	5.0	3.773499166752492e-06	11.0	0.8546666666666667	31	55800.0
235	J18	16200.0	9.0	8.4834889220136e-06	14.0	0.6316666666666667	32	57600.0
236	J19	14400.0	8.0	5.327477060274912e-06	18.0	0.7773333333333334	46	82800.0
237	J20	12600.0	7.0	6.318666043990647e-06	19.0	0.9106666666666667	48	86400.0
238	J21	7200.0	4.0	8.426629221242776e-06	21.0	0.8826666666666667	41	73800.0
239	J22	21600.0	12.0	8.721424400248289e-06	23.0	0.5886666666666666	48	86400.0
240	J23					0.212	0	0.0
241	J24					0.09166666666666667	7	12600.0
242	K1	16200.0	9.0	1.34918166646036e-05	20.0	0.8733333333333334	48	86400.0
243	K2	12600.0	7.0	6.75999172664181e-05	10.0	0.883	47	84600.0
244	K3	12600.0	7.0	5.986596135655095e-06	19.0	0.8143333333333334	47	84600.0
245	K4	12600.0	7.0	3.3836808804804367e-05	12.0	0.9906666666666667	26	46800.0
246	K5	14400.0	8.0	4.123128672715414e-05	11.0	0.8603333333333333	48	86400.0
247	K6	12600.0	7.0	9.365935278988054e-06	15.0	0.8696666666666667	48	86400.0
248	K7	12600.0	7.0	6.44229791705067e-06	19.0	0.8013333333333333	48	86400.0
249	K8	12600.0	7.0	3.663879740170589e-05	12.0	0.9586666666666667	26	46800.0
